Hány hidrogénatom van a toluol képletében?;;8
'  Hány százalékos a levegõ relatív páratartalma a harmatponton?;;100
'  Melyik évben jelent meg a Piramis zenekar elsõ albuma?;;1977
' ' J Melyik évben volt az elsõ egymilliárd forint feletti ! halmozódás az ölösloltón? 4;;1999
' ' J Hány napig tartott az arab-izraeli háború 1967- ! ben? 4;;6
Melyik NEM tartozik a lófélék családjába?;;zsiráf
Melyik magyar miniszterelnök vett részt a § Népszövetség küldötteként a török-iraki határ megállapításában 1925-ben?;;Gr. Teleki Pál
7. Milyen nemzetiségû volt Claude Achille Debussy?;;francia
Milyep ízû fagyija fogyott el Charlie Firpónak az És megint dühbe jövünk címû filmben?;;pisztácia
Melyik tudományág területén alkotott maradandót Bolyai Farkas?;;matematika
Ki volt a gyõztes parancsnok az isaszegi csata alatt?;;Görgey Artúr
Mi az elõtagja azoknak az összetett szavaknak, amelyeknek utótagja: -gúl, -fegyelem, -imádat?;;ön-
. Milyen ünnep a zsidó naptárban a Tánil Eszter?;;Eszter böjtje
Milyen italt kínálnak magas, keskeny, talpas pohárban?;;pezsgõ
Melyik N'EM többjelentésû szú?;;függöny
7. Ki (volt) a Rolling Stones frontembere?;;Mick Jagger
'  Melyik évben nyerte el a legjobb európai labdarúgúnak járó Aranylabdál Albert Flórián?;;1967
'  Mi volt az egyik napilap círr'1e a II. világháború elõtt: "... Orai Ujság"?;;8
i]     '  Hány versszakos Arany János A walesi bárdok címû verse?;;31
'  Hány olyan független ország létezik, amely valódi enklávé?  ' J 4 4;;3
'  Melyik évben indultak meg a rendszeres rádióadások Berlinben?;;1923
'  Hány hengeres motorja van a Trabant SOI-es modellnek?;;2
Melyik városban üti leghamarabb az óra az újév beköszöntét?;;Sydney
Melyik zöldségfélének a levelét NEM használjuk ételízesítésre?;;pasztinák
Melyik együttes tagja volt L.L. Junior?;;Fekete Vonat
Egészítsd ki a Himnuszban található idézetet! "Oseinket felhozád / Kárpát szent ...";;bércére
Mi Japán fõvárosa?;;Tokió
Milyen nemzetiségû sportoló volt Dmitrij Bilozercsev tornász?;;orosz
Melyik mérték szolgál a megvilágítás mérésére?;;lux
Melyik tánc NEM magyar eredetû?;;briul
Melyik fehér húsú szárnyas?;;csirke
7. Milyen néven szokták emlegetni Hunyadi Jánost?;;a törökverõ
Ki NEM tiszt az alábbiak közül?;;õrvezetõ
0 Hol található a Chanel divatház székhelye?;;Franciaország
' ' J § A világ hány állatkertjében tartottak eddig moát, l  azaz új-zélandi röpképtelen madarat? J;;0
'  Hány pontot ér a snooker nevû játékban a fekete golyó?;;7
'  Hány km/h sebességgel haladhat egy motorkerékpár autóúton a KRESZ szerint?;;110
Mennyi 0,2 reciproka?;;5
'  Budapest hányadik kerületében található Gül Baba türbe'je?;;2
Az alábbiak közül melyik London repülõtere?;;Heathrow
Mi az egypúpú teve latin neve?;;Camelus Dromidarius
Melyik zsidó ünnep a fény ünnepe?;;hanuka
' Melyik észak-amerikai város kosárlabdacsapata a % Bulls?;;Chicago
Milyen nemzetiségû Aram Hacsaturján?;;örmény
Kinek a szokásos megnevezése a törökverõ?;;Hunyadi János
Ki János vitéz szerelme?;;Iluska
Melyik nõi név egyben gyógynövény is?;;Kamilla
Ki NEM szerepelt Az oroszlánkirály címû mesében?;;Abu
Melyik ország étele a lasagne?;;Olaszország
'  Hány stúdióalbumot készített a Oueen együttes Freddie Mercury haláláig?;;14
'  Melyik évben halt meg Benczúr Gyula festõ?;;1920
'  Hány halálos áldozata volt a Hitler elleni merénylelkísérletnek 1944. július 20-án?;;4
'  Hány tartományból és területbõl áll összesen Kanada?;;13
Hányadik hónap az évben Böjtmás hava?;;3
Mennyi MDCCCLIX értéke?;;1859
Melyik város futballcsapata a Crvena zvezda?;;Belgrád
Milyen típusú hangszer a zongora?;;billentyûs
Mi van minden kelt tésztában?;;élesztõ
Melyik autónak a legnagyobb a szabad hasmagassága?;;Land Rover Defender
Mibõl állított elõ elõször C-vitamint Szent- Györgyi Albert?;;paprikából
Melyik NEM amerikai tévésorozat?;;A Guldenburgok öröksége
Hogyan írjuk helyesen?;;sütöde
Ha a földrajzi Déli-sarkon áll valaki, akkor melyik irányba halad, ha bármerre tesz onnan egy lépést?;;észak
Mit jelent a reneszánsz szó?;;újjászületés
Melyik film története játszódik karácsony környékén?;;A Grincs'  Melyik évben rendeztek Budapesten Világifjúsági Találkozót?;;1949
'  Hány évesen debütált a spanyol válogatottban Puskás Ferenc?;;34
' ' J Melyik évben alkalmazta elsõként Ian Donald a ! terhesség felismerésére az ultrahangot? J;;1963
'  Hány zöngétlen mássalhangzó van a magyar ábécében?;;10
; Hány km/h sebességgel haladhat egy elromlott % jármûvet vontató gépjármû lakott területen ' belül?;;40
Mi a Petõfi híd budai hídfõjénél horgonyzó, JJ  szórakozóhellyé alakított Artemovszk hajú típusszáma? 4;;38
Ki jutott fel elsõ magyarként a Mount Everest csúcsára?;;Erõss Zsolt
Melyik szó van hibásan írva?;;Komunikáció
Az alábbiak közül melyik találmányt NEM amerikai nemzetiségû ember találta fel?;;mozgókép
' ' J Melyik évben mutatták be Jankovics Marcell ! János vitéz címû rajzfilmjét? 4;;1973
'  Melyik az a legnagyobb arab szám, amit még szabályosan ki lehet fejezni római számmal?  ' J J  4;;3999
Milyen típusú hangszer a buzuki?;;pengetõs
Ki volt az, akinek a legnagyobb síremléket építették Magyarországon?;;Kossuth Lajos
Hogy hívják Mary Shelley leghíresebb horrortörténelében a kísérletezõ orvost, aki életre keltett egy "szörnyet"?;;Frankenstein
Mi található legdélebbre az alábbiak közül?;;Pécs
Melyik növény virága fehér?;;hóvirág
Melyik országban megjelenõ lap a The Times?;;Nagy-Britannia
' Melyik futballcsapat NEM az olasz bajnokságban % játszik?;;Aston Villa
Az alábbiak közül melyik NEM a gerincesek törzsébe tartozó osztály?;;rovarok
Hány szárnya van egy katicabogárnak?;;4
